일시,평균기온,평균최고기온,최고기온,평균최저기온,최저기온,강수량
2011-01-01,-7.2,-3.4,0.3,-10.5,-17.8,8.9
2011-02-01,1.2,5.9,13.2,-2.5,-9.2,29.1
2011-03-01,3.6,8.3,16.8,-0.1,-5.5,14.6
2011-04-01,10.7,15.6,19,6.8,4.3,110.1
2011-05-01,17.9,23,31.2,13.6,8.5,53.4
2011-06-01,22,26.6,32.9,18.4,14.4,404.5
2011-07-01,24.6,28,34.1,22,18.9,1131
2011-08-01,25.8,29.5,34.1,23,18.1,166.8
2011-09-01,21.8,26.6,32.4,17.7,10.3,25.6
2011-10-01,14.2,19.3,23.4,9.7,3.1,32
2011-11-01,10.7,14.7,25.9,7.2,-5.5,56.2
2011-12-01,-0.9,2.9,9.1,-4.1,-10.6,7.1
2012-01-01,-2.8,1.3,8.4,-6.3,-12.2,6.7
2012-02-01,-2,3,12.1,-6,-17.1,0.8
2012-03-01,5.1,9.5,16.2,1.5,-5.7,47.4
2012-04-01,12.3,17.9,29.4,7.8,0.6,157
2012-05-01,19.7,25.1,29.3,15.4,12,8.2
2012-06-01,24.1,29.7,33.5,20,16.3,91.9
2012-07-01,25.4,29,33.2,22.4,18.5,448.9
2012-08-01,27.1,30.9,36.7,23.9,18.7,464.9
2012-09-01,21,25,29.5,17.4,12,212
2012-10-01,15.3,20.5,26,11,2.8,99.3
2012-11-01,5.5,9.5,15.7,1.8,-3,67.8
2012-12-01,-4.1,-0.5,8.3,-7.4,-14.5,41.4
2013-01-01,-3.4,0.3,11.5,-6.6,-16.4,22.1
2013-02-01,-1.2,2.8,13.9,-4.9,-15.8,74.1
2013-03-01,5.1,10.8,23.8,0.7,-4.4,27.3
2013-04-01,10,15,21.6,5.7,1.3,71.7
2013-05-01,18.2,23.6,31.8,13.7,7.9,132
2013-06-01,24.4,29.2,32.6,20.5,16.3,28.3
2013-07-01,25.5,28.3,31.3,23.4,20.5,676.2
2013-08-01,27.7,31.1,33.9,24.8,21.1,148.6
2013-09-01,21.8,25.9,31.1,18,10.9,138.5
2013-10-01,15.8,21.2,28.1,10.9,4.3,13.5
2013-11-01,6.2,10.7,20.7,2.1,-6.4,46.8
2013-12-01,-0.2,3.5,11,-3.5,-9.8,24.7
2014-01-01,-0.7,3.5,8.2,-4.9,-10.5,13
2014-02-01,1.9,6.6,16.4,-1.8,-10.5,16.2
2014-03-01,7.9,13.1,23.8,3.5,-4.6,7.2
2014-04-01,14,19.6,26.2,9.4,2.3,31
2014-05-01,18.9,25.3,33.3,13.8,6.8,63
2014-06-01,23.1,27.8,31.1,19.7,17.3,98.1
2014-07-01,26.1,30.6,34.4,22.9,19.1,207.9
2014-08-01,25.2,29,35.8,22.1,18.3,172.8
2014-09-01,22.1,27,31.3,18,14.9,88.1
2014-10-01,15.6,21.4,29,10.7,2.7,52.2
2014-11-01,9,13.8,22.9,4.9,-3.1,41.5
2014-12-01,-2.9,1.5,7.9,-6.7,-13.2,17.9
2015-01-01,-0.9,3.6,9,-4.8,-9.8,11.3
2015-02-01,1,6,13,-2.9,-13,22.7
2015-03-01,6.3,12.4,21.9,1,-6.9,9.6
2015-04-01,13.3,18.8,28.3,8.4,3.5,80.5
2015-05-01,18.9,24.9,32.2,13.6,8.3,28.9
2015-06-01,23.6,29.5,34.9,18.9,15.6,99
2015-07-01,25.8,30,36,22.6,18.2,226
2015-08-01,26.3,30.8,34.4,22.8,18.9,72.9
2015-09-01,22.4,28.1,31,17.5,14.2,26
2015-10-01,15.5,21.2,26.6,10.8,1.1,81.5
2015-11-01,8.9,12.7,21,5.9,-7.3,104.6
2015-12-01,1.6,6,12.2,-2.1,-9.5,29.1
2016-01-01,-3.2,1.1,9.5,-6.8,-18,1
2016-02-01,0.2,5.1,14.4,-4.1,-10,47.6
2016-03-01,7,12.6,21.4,2.4,-7.5,40.5
2016-04-01,14.1,20.3,29.6,9.1,5.1,76.8
2016-05-01,19.6,25.7,31.9,14.1,8.9,160.5
2016-06-01,23.6,28.7,32.2,19.5,17.1,54.4
2016-07-01,26.2,29.8,34.1,23.3,19.8,358.2
2016-08-01,28,32.6,36.6,24.5,16.1,67.1
2016-09-01,23.1,27.9,31.1,19.3,14.3,33
2016-10-01,16.1,21.3,29,11.6,0.7,74.8
2016-11-01,6.8,11.6,18.6,2.8,-6.2,16.7
2016-12-01,1.2,5.8,13.6,-2.7,-9.8,61.1
2017-01-01,-1.8,2.9,11.4,-5.8,-12.6,14.9
2017-02-01,-0.2,4.8,12.3,-4.7,-9.3,11.1
2017-03-01,6.3,12.3,18.9,1.7,-5.3,7.9
2017-04-01,13.9,20,27.8,9.1,3.1,61.6
2017-05-01,19.5,25.4,30.3,14.4,10,16.1
2017-06-01,23.3,28.8,34.1,18.7,14.5,66.6
2017-07-01,26.9,30.4,35.4,24.3,21.9,621
2017-08-01,25.9,29.7,35.3,22.9,16.1,297
2017-09-01,22.1,27.4,31.4,17.5,11.2,35
2017-10-01,16.4,22.5,29.4,11.6,2.5,26.5
2017-11-01,5.6,10.5,18.4,1.3,-6.6,40.7
2017-12-01,-1.9,2.2,8.7,-5.7,-12.3,34.8
2018-01-01,-4,0.1,8.7,-7.3,-17.8,8.5
2018-02-01,-1.6,3.3,10.4,-5.9,-13.4,29.6
2018-03-01,8.1,13.6,22.1,3.8,-6.7,49.5
2018-04-01,13,18.5,26.3,8.1,0.1,130.3
2018-05-01,18.2,23.3,29.6,13.4,6.9,222
2018-06-01,23.1,28.4,32.9,18.9,16.3,171.5
2018-07-01,27.8,32.1,38.3,24.2,17.7,185.6
2018-08-01,28.8,33.3,39.6,25.2,20.2,202.6
2018-09-01,21.5,26,30.9,17.6,10.8,68.5
2018-10-01,13.1,18.6,25.6,8.5,0.7,120.5
2018-11-01,7.8,13.2,19.4,3.6,-3.1,79.1
2018-12-01,NA,NA,13.5,NA,16.4,-11.8
